OID_,Id,gridcode,Shape_Length,Shape_Area,CH_mean,ARVI_mean,ARVI_med,ARVI_max,EVI_mean,EVI_med,EVI_max,NDVI_mean,NDVI_med,NDVI_max,SAVI_mean,SAVI_med,SAVI_max,Veg_class
41,41,41,7.800000000745058,2.470000000037253,0.0150000,0.2012093,0.2012093,0.2676813,0.2618298,0.2618298,0.2849671,0.3809624,0.3809624,0.4288597,0.2667843,0.2667843,0.2844712,woody
42,42,42,9.200000008568168,2.450000000000000,0.0100000,0.3666224,0.3666224,0.4308108,0.3118455,0.3118455,0.3455655,0.4940977,0.4940977,0.5402968,0.3027918,0.3027918,0.3301529,woody
43,43,43,12.800000008195639,2.039999998956919,0.0000000,0.2126214,0.2126214,0.2126214,0.2363363,0.2363363,0.2363363,0.3824018,0.3824018,0.3824018,0.2406548,0.2406548,0.2406548,woody
44,44,44,17.799999998882413,3.580000000800937,0.0200000,0.0217634,0.0217634,0.0217634,0.1796173,0.1796173,0.1796173,0.2411456,0.2411456,0.2411456,0.1958077,0.1958077,0.1958077,woody
45,45,45,13.400000007823110,2.580000000800938,0.0100000,0.2811431,0.2811431,0.4013641,0.2776236,0.2776236,0.3345948,0.4364633,0.4364633,0.5249786,0.2769390,0.2769390,0.3244149,non-woody
46,46,46,18.399999998509884,7.610000000484288,0.0114286,0.2733294,0.3499669,0.4538849,0.2879320,0.3199226,0.3506920,0.4308734,0.4915833,0.5565529,0.2861392,0.3113668,0.3344522,woody
47,47,47,11.000000001862645,3.189999999236316,0.0066667,0.1924282,0.2034216,0.3543996,0.2505544,0.2553680,0.3236797,0.3668931,0.3762825,0.4866596,0.2527672,0.2573713,0.3127573,woody
48,48,48,11.000000005587935,2.760000000204891,0.0066667,0.1732449,0.1330872,0.3042381,0.2317528,0.2194106,0.2843978,0.3514743,0.3224490,0.4526552,0.2364300,0.2266737,0.2823344,woody
49,49,49,9.000000001862645,2.369999999944121,0.0133333,0.0847912,0.1023903,0.1563266,0.1976193,0.2103678,0.2280115,0.2880367,0.3035224,0.3423360,0.2091643,0.2215892,0.2350613,woody
50,50,50,16.600000003352761,5.760000000763684,0.0050000,0.2981250,0.3414936,0.3673815,0.2793145,0.2921126,0.3079820,0.4433146,0.4745786,0.4897018,0.2760628,0.2841380,0.3018102,woody
51,51,51,10.199999997392297,2.740000000260770,0.0050000,0.1392399,0.1392399,0.2387335,0.2176004,0.2176004,0.2606507,0.3278507,0.3278507,0.4042442,0.2253123,0.2253123,0.2625042,woody
52,52,52,15.800000000745058,5.980000001080334,0.0460000,0.2926369,0.3214208,0.3698569,0.3052713,0.3142857,0.3524252,0.4492508,0.4740634,0.5084955,0.3024570,0.3093750,0.3418497,woody
53,53,53,16.199999995529652,3.999999999534339,0.0640000,0.0666190,0.0089047,0.2822127,0.1904984,0.1639301,0.2935593,0.2737753,0.2304038,0.4362721,0.2027111,0.1806073,0.2896321,woody
54,54,54,18.599999995902181,7.570000000223517,0.0120000,0.3059640,0.3041426,0.3669109,0.2757674,0.2766551,0.2991987,0.4512852,0.4514152,0.4981640,0.2742400,0.2740205,0.2953556,woody
55,55,55,16.400000007823110,3.870000000316650,0.0100000,0.1933501,0.1767892,0.3027718,0.2344097,0.2285200,0.2726193,0.3680688,0.3577579,0.4491550,0.2393172,0.2352163,0.2714081,woody
